NIR,SWIR,blue,cyanobacteria_abundance,green,longitude,latitude,ndci,ndti,ndvi,ndwi,red,red_edge,caml_sample_date,satellite_date,temp_c,log_abundance,days_diff_caml_to_sat,is_s2,precip_3d_mm,wind_speed_ms,solar_rad_wm2,nutrients_date,TN_mgL,TP_mgL,days_diff_caml_to_nutrients
0.0903,0.2095,0.042,1243.748046875,0.0587,-121.46399528241274,37.96739940225552,0.4971428591825524,-0.0906274179171331,0.1238332322881665,-0.2120805369127516,0.0703999996185302,0.2096,2016-08-16,2016-08-13,39.169831639999984,3.0950814534997564,3,1,0.0,2.65,7.5413,2016-08-16,1.0,,0.0
0.0976,0.2025,0.0348,5022.5,0.0612,-121.53500200758782,36.95990119203786,0.776130117806595,0.1333333466560753,0.3518005659017834,-0.2292191435768262,0.046799998730421,0.3713,2019-05-29,2019-05-30,24.047998046875023,3.701006406595548,1,1,4.119999999999999,2.73,7.0997,2019-05-29,1.515,0.0196,0.0
0.1059375,0.1101725,0.0221724999999999,4065.0,0.0344649999999999,-120.03600384285512,37.436298171284854,,-0.116650113734662,0.4171766830540784,-0.5090543259557345,0.0435675,,2017-10-10,2017-10-13,24.44158346000006,3.60916737430202,3,0,0.02,1.15,4.9222,2017-10-10,0.055,0.2,0.0
0.2719275,0.2110699999999999,0.0497825,553.3699951171875,0.078795,-120.181999270446,36.86860109796855,,-0.0589534970515787,0.508215588125182,-0.5506704018133994,0.0886675,,2017-10-10,2017-10-13,26.372764759999995,2.7437997163590264,3,0,0.01,1.51,5.0278,2017-10-10,0.06,,0.0
0.0502,0.0462,0.0542,1138.70703125,0.0509,-84.96614614153295,39.615251278354336,0.0572972972972972,0.0772486772486772,0.070362473347548,0.0069238377843719,0.0436,0.0489,2020-07-14,2020-07-13,24.99024353027346,3.0567932275967102,1,1,6.890000000000001,1.08,7.7098,2020-07-14,0.11,0.11,0.0
0.093,0.0917,0.0655,155.875,0.0803,-84.9948672114182,39.58638305813434,0.0874053682037164,0.0954979536152796,0.167608286252354,-0.0732833237160992,0.0663,0.079,2020-07-14,2020-07-13,24.99024353027346,2.1955537388251134,1,1,6.890000000000001,1.08,7.7098,2020-07-14,0.235,0.11,0.0
0.0262,0.0118,0.0394,310.4419860839844,0.0476,-84.986840829522,39.49810177547822,-0.1006423982869378,0.2987721691678036,0.0096339113680154,0.2899728997289973,0.0257,0.021,2020-07-14,2020-07-13,25.27539978027346,2.49337716024056,1,1,6.890000000000001,1.08,7.7098,2020-07-14,0.5,0.053,0.0
0.079,0.1143,0.0304,5502.5,0.0514,-121.44499951192506,36.94250177972731,0.5256840965349947,0.0198412519910381,0.2305295781073189,-0.2116564417177913,0.0494000017642974,0.1589,2019-05-29,2019-05-30,24.278466796875023,3.740638970811629,1,1,4.119999999999999,2.73,7.0997,2019-05-29,19.945,0.247,0.0
0.2089524999999999,0.132805,0.027755,5652.5,0.0531375,-121.9709995312906,39.75330058786798,,0.0511349587062955,0.62659582749494,-0.5945095196306611,0.0479674999999999,,2014-09-17,2014-09-17,33.00714158000005,3.752317396505286,0,0,0.0,4.81,6.0403,2014-09-17,0.19,,0.0
0.1613,0.2944,0.0852,8462.5,0.1142,-121.53299541211376,36.98930004528323,0.1852276156083371,-0.1095516389594632,0.0625823632986313,-0.170961887477314,0.1422999948263168,0.207,2018-09-26,2018-09-22,34.55208662000001,3.927549998540939,4,1,0.0,1.15,4.9075,2018-09-26,13.208,0.0643,0.0
