,NIR,SWIR,blue,cyanobacteria_abundance,green,longitude,latitude,ndci,ndti,ndvi,ndwi,red,red_edge,sample_date,satellite_date,temp_c,log_abundance,days_difference,is_s2
0,0.1955,0.2705,0.109,6.060999870300293,0.1525,-95.47956935478972,39.14193107883423,0.1063309704228795,-0.0903668356695496,0.0335712397568068,-0.1235632183908046,0.1828,0.2263,2020-06-29,2020-06-28,29.543908691406273,0.8488662035174578,1,1
1,0.1694,0.2252,0.1043,17.993000030517578,0.136,-95.64282150345744,38.81807994662561,0.3035714285714285,0.0126582278481013,0.1218543046357615,-0.1093647675180091,0.1326,0.2482,2020-06-30,2020-06-28,31.30829772949221,1.2785935689389494,2,1
2,0.1701,0.1458,0.1228,188.6540069580078,0.1443,-95.52114601301204,39.686240167125206,0.1630787378354467,0.0083857442348008,0.0903846153846154,-0.08206106870229,0.1419,0.1972,2020-06-29,2020-06-28,29.750939941406273,2.277962022790819,1,1
3,0.0463,0.0559,0.0324,1.5750000476837158,0.0416,-96.90461778765206,39.0944728663224,0.2672112194058381,0.1397260459159729,0.1917632099561003,-0.0534698521046644,0.0313999988138675,0.0543,2017-08-28,2017-08-23,26.154229736328148,0.4107772414194523,5,1
4,0.1068,0.1121,0.07,5.039999961853027,0.0844,-96.90589754965438,39.07775123737197,0.1422658925583146,0.0089659137952014,0.1259883873158861,-0.1171548117154811,0.0829000025987625,0.1104,2017-08-21,2017-08-23,29.083254620000048,0.7810369358782477,2,1
5,0.1506,0.2139,0.0767,95.5,0.1219,-95.47956935478972,39.14193107883423,0.1068375969296246,-0.0909768928626188,0.0144829808857509,-0.1053211009174312,0.1463000029325485,0.1813,2017-08-23,2017-08-23,29.168705120000027,1.9845273133437926,0,1
6,0.0454,0.0097,0.0367,39.689998626708984,0.0498,-95.47731750875772,39.20108997251029,-0.5400410818355686,0.1408934513165667,0.0952955171035283,0.0462184873949579,0.0375000014901161,0.0112,2017-08-23,2017-08-23,26.075397020000025,1.6094876751958087,0,1
7,0.0345,0.017,0.0297,87.51499938964844,0.0414,-95.44320538569885,39.17962831914006,-0.1501976428733442,0.1744680708077442,0.0849056457361323,0.0909090909090908,0.0291000008583068,0.0215,2017-08-23,2017-08-23,26.755583,1.9470168707000206,0,1
8,0.1147,0.1728,0.0642,24.256000518798828,0.0812,-96.93034680073042,39.15057727577685,0.4434512378277411,0.0628272419632674,0.2313473053129208,-0.1710056151097499,0.0715999975800514,0.1857,2017-08-21,2017-08-23,29.021730260000027,1.4023645778052674,2,1
9,0.1814,0.219,0.1188,80.875,0.145,-95.44557316835824,39.22602080650011,0.132410564736907,-0.0678238369925636,0.0440287908747272,-0.1115196078431372,0.1660999953746795,0.2168,2017-08-23,2017-08-23,28.912353619999976,1.9131513129998394,0,1
10,0.1658,0.2411,0.0851,93.23999786376952,0.1157,-97.00559413100731,39.21155102358168,0.4002317497876804,-0.0558955527437405,0.1233062331530545,-0.1779751332149201,0.1293999999761581,0.3021,2017-08-28,2017-08-23,27.087823486328148,1.9742352675984474,5,1
11,0.0385,0.0222,0.0347,22.68000030517578,0.0448,-96.9110478113711,39.16521650453531,-0.0959349666220771,0.1414012666920715,0.0664819871522378,0.0756302521008403,0.0337000004947185,0.0278,2017-08-28,2017-08-23,26.263604736328148,1.3743817036478483,5,1
12,0.1141,0.0782,0.093,48.5099983215332,0.1187,-95.40445133844337,39.1436478327398,-0.1939546669686515,0.0008431630270146076,-0.0189166023036831,0.0197594501718213,0.1185000017285347,0.08,2017-08-23,2017-08-23,26.57442794000002,1.6946929116082186,0,1
13,0.0283,0.026,0.0555,59.78889846801758,0.0536,-98.77401564049028,29.823890298682084,-0.1783783557010381,0.2421784693258155,-0.0721311242402283,0.3089133089133089,0.0326999984681606,0.0228,2017-08-22,2017-08-23,31.629679520000025,1.7838242737743748,1,1
14,0.0239,0.0352,0.0177,73.56999969482422,0.023,-82.25327365162701,38.42876921095241,0.6368159133903037,0.2234042441192467,0.2415584304580441,-0.0191897654584222,0.0146000003442168,0.0658,2017-08-24,2017-08-23,22.71192321777346,1.8725641413133127,1,1
15,0.0893275,0.0934249999999999,0.0048749999999999,25.979999542236328,0.0641375,-86.44956420718489,43.94203296714027,,0.043395152106719,0.206068993451698,-0.1641416609650408,0.0588024999999999,,2017-08-24,2017-08-23,18.193442900000036,1.4310419379673074,1,0
16,0.065375,0.036225,0.0235475,30.044200897216797,0.0374899999999999,-87.65727159560123,36.578541033542955,,0.0740581578570406,0.3383489431393626,-0.2710834589024451,0.0323199999999999,,2017-08-28,2017-08-23,21.98060906000001,1.491980485235447,5,0
17,0.0668,0.0108,0.0319,814.041015625,0.0682,-95.70121789085331,38.51301054805411,-0.2953368056999997,0.2904446364908954,0.2809204035597302,0.0103703703703703,0.0375000014901161,0.0204,2017-08-28,2017-08-23,26.94015608000001,2.9111794644594857,5,1
18,0.0804,0.0829,0.0374,139.06300354003906,0.0581,-95.528735403005,39.826407549639214,0.391691382966809,0.1725529633914989,0.3245469398679255,-0.1610108303249097,0.0410000011324882,0.0938,2017-08-23,2017-08-23,29.40796652000006,2.1463234352125933,0,1
19,0.0782,0.096,0.0465,287.2799987792969,0.0639,-96.99138743505104,38.31806310909852,0.3963344648420333,0.0960548720911846,0.1948051788645761,-0.1006333567909923,0.052700001746416,0.1219,2017-08-28,2017-08-23,26.494073486328148,2.4598145115484127,5,1
20,0.1611,0.2006,0.082,505.8900146484375,0.1174,-95.54975114626988,38.78091779844618,0.3992755665014003,0.042628777127114,0.1982149523983187,-0.1569120287253141,0.1077999994158744,0.2511,2017-08-28,2017-08-23,29.773694660000046,2.7049137360334297,5,1
21,0.0406,0.0331,0.0238,149.30999755859375,0.0571,-97.04936020784687,37.04701864931903,-0.0948904998736639,0.31113663466344,0.1501416539834288,0.1688843398157625,0.0299999993294477,0.0248,2017-08-23,2017-08-23,26.57514343261721,2.176987867746794,0,1
22,0.0493,0.0096,0.0479,295.4700012207031,0.0592,-96.97297580680136,39.21067258067415,-0.4114113971887297,0.1148776063484073,0.0238837138916103,0.0912442396313364,0.0469999983906745,0.0196,2017-08-21,2017-08-23,27.606669979999992,2.4719807551591857,2,1
23,0.0403,0.0372,0.0242,160.3350067138672,0.0397,-95.411180121933,39.12105802680304,0.0088810095179843,0.1745562274130945,0.1818181961750992,-0.0075,0.0278999991714954,0.0284,2017-08-23,2017-08-23,30.252217459999997,2.2077286114877444,0,1
